# Version 1.00,,,,,,,,,,
#,,,,,,,,,,
# Ref Impedances: Z01: 50, Z02: 50,,,,,,,,,
# ,,,,,,,,,,
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,,mag:Trc1_S11
1.98E+09,-4.91E-01,-7.80E-01,3.11E-04,4.94E-04,2.86E-04,5.05E-04,-4.95E-01,-7.73E-01,,0.921195251
2.00E+09,-5.45E-01,-7.41E-01,3.77E-04,4.10E-04,3.57E-04,4.62E-04,-5.56E-01,-7.27E-01,,0.91944338
2.01E+09,-5.97E-01,-6.96E-01,5.10E-04,4.19E-04,4.41E-04,4.84E-04,-6.04E-01,-6.86E-01,,0.91705315
2.03E+09,-6.45E-01,-6.49E-01,4.78E-04,3.24E-04,5.28E-04,3.84E-04,-6.61E-01,-6.29E-01,,0.915275349
2.04E+09,-6.90E-01,-5.98E-01,4.34E-04,1.91E-04,5.58E-04,2.42E-04,-6.96E-01,-5.86E-01,,0.912751753
2.06E+09,-7.30E-01,-5.44E-01,4.73E-04,1.72E-04,5.25E-04,1.87E-04,-7.50E-01,-5.24E-01,,0.910430232
2.07E+09,-7.67E-01,-4.87E-01,4.19E-04,1.11E-04,4.57E-04,1.89E-04,-7.66E-01,-4.78E-01,,0.908459062
2.09E+09,-7.99E-01,-4.28E-01,4.60E-04,1.60E-04,4.85E-04,1.47E-04,-8.18E-01,-4.00E-01,,0.906562945
2.10E+09,-8.27E-01,-3.66E-01,4.66E-04,6.28E-05,4.53E-04,5.34E-05,-8.25E-01,-3.59E-01,,0.904436876
2.12E+09,-8.50E-01,-3.04E-01,4.63E-04,-1.11E-05,5.00E-04,6.80E-05,-8.57E-01,-2.81E-01,,0.902809759
2.13E+09,-8.68E-01,-2.39E-01,3.64E-04,6.88E-06,4.66E-04,1.17E-05,-8.69E-01,-2.27E-01,,0.900669943
2.15E+09,-8.82E-01,-1.73E-01,3.46E-04,2.67E-05,4.21E-04,3.22E-05,-8.87E-01,-1.46E-01,,0.898731856
2.16E+09,-8.91E-01,-1.06E-01,4.01E-04,-1.77E-05,4.18E-04,-9.18E-06,-8.88E-01,-9.41E-02,,0.896810157
2.18E+09,-8.94E-01,-3.78E-02,4.44E-04,7.00E-06,4.63E-04,-3.61E-05,-8.95E-01,-1.84E-02,,0.894543071
2.19E+09,-8.93E-01,2.95E-02,3.64E-04,-2.63E-05,4.27E-04,-8.28E-05,-8.86E-01,3.60E-02,,0.893292026
2.21E+09,-8.86E-01,9.70E-02,3.19E-04,-2.14E-05,3.58E-04,-2.44E-05,-8.88E-01,1.26E-01,,0.891674746
2.22E+09,-8.75E-01,1.65E-01,3.30E-04,-2.31E-05,4.16E-04,-5.34E-07,-8.67E-01,1.78E-01,,0.889989774
